INFO:     Started server process [41260]
INFO:     Waiting for application startup.
2026-06-04 23:22:24  INFO      mcp.server.streamable_http_manager  StreamableHTTP session manager started
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:3001 (Press CTRL+C to quit)
2026-06-04 23:29:02  INFO      oricalcum  PATCH /api/v1/projects/ws_002/nodes/886ad7ec-7aa5-4521-a0d4-cd4a339928a6 -> 200  (1688ms)
2026-06-04 23:29:02  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:02  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (496ms)
2026-06-04 23:29:07  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:07  INFO      oricalcum  POST /api/v1/projects/ws_002/storage/presign-upload -> 200  (389ms)
2026-06-04 23:29:09  INFO      oricalcum  GET /api/v1/projects/ws_002/storage/media -> 307  (11ms)
2026-06-04 23:29:09  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:10  INFO      oricalcum  PATCH /api/v1/projects/ws_002/nodes/886ad7ec-7aa5-4521-a0d4-cd4a339928a6 -> 200  (856ms)
2026-06-04 23:29:14  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:15  INFO      oricalcum  PATCH /api/v1/projects/ws_002/nodes/886ad7ec-7aa5-4521-a0d4-cd4a339928a6 -> 200  (912ms)
2026-06-04 23:29:20  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:20  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (884ms)
2026-06-04 23:29:20  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:21  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (516ms)
2026-06-04 23:29:24  INFO      oricalcum  OPTIONS /api/v1/projects/ws_002/storage -> 200  (0ms)
2026-06-04 23:29:24  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:24  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (585ms)
2026-06-04 23:29:25  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:25  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (487ms)
2026-06-04 23:29:28  INFO      oricalcum  OPTIONS /api/v1/projects/ws_002/storage -> 200  (0ms)
2026-06-04 23:29:28  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:29  INFO      oricalcum  DELETE /api/v1/projects/ws_002/storage -> 200  (909ms)
2026-06-04 23:29:29  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:29:30  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (880ms)
2026-06-04 23:37:35  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:36  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (1553ms)
2026-06-04 23:37:38  INFO      oricalcum  OPTIONS /api/v1/projects/ws_002/storage -> 200  (0ms)
2026-06-04 23:37:38  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:39  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (537ms)
2026-06-04 23:37:40  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:40  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:40  INFO      oricalcum  GET /api/v1/projects/ws_002/calendar-events -> 200  (640ms)
2026-06-04 23:37:41  INFO      oricalcum  GET /api/v1/projects/ws_002 -> 200  (739ms)
2026-06-04 23:37:41  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:41  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:41  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:41  INFO      oricalcum  GET /api/v1/projects/ws_002/calendar-events -> 200  (785ms)
2026-06-04 23:37:42  INFO      oricalcum  GET /api/v1/projects/ws_002/nodes -> 200  (977ms)
2026-06-04 23:37:42  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:42  INFO      oricalcum  GET /api/v1/projects/ws_002/edges -> 200  (966ms)
2026-06-04 23:37:43  INFO      oricalcum  GET /api/v1/projects/ws_002 -> 200  (1174ms)
2026-06-04 23:37:57  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:58  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:58  INFO      oricalcum  GET /api/v1/projects/ws_002/calendar-events -> 200  (932ms)
2026-06-04 23:37:58  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:58  INFO      oricalcum  GET /api/v1/projects/ws_002 -> 200  (481ms)
2026-06-04 23:37:58  INFO      oricalcum  GET /api/v1/projects/ws_002/calendar-events -> 200  (440ms)
2026-06-04 23:37:58  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:59  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:59  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:37:59  INFO      oricalcum  GET /api/v1/projects/ws_002/nodes -> 200  (1079ms)
2026-06-04 23:37:59  INFO      oricalcum  GET /api/v1/projects/ws_002/edges -> 200  (1082ms)
2026-06-04 23:38:00  INFO      oricalcum  GET /api/v1/projects/ws_002 -> 200  (1112ms)
